Team,Values,When,Season
Arsenal FC,€281.50m,winter,2013
Everton FC,€137.75m,winter,2013
Aston Villa,€108.00m,winter,2013
West Ham United,€94.00m,winter,2013
Wolverhampton Wanderers,€64.80m,winter,2013
Newcastle United,€174.50m,winter,2013
Leeds United,€20.65m,winter,2013
Southampton FC,€77.00m,winter,2013
Crystal Palace,€21.45m,winter,2013
Brighton & Hove Albion,€25.93m,winter,2013
Brentford FC,€6.55m,winter,2013
Norwich City,€64.75m,winter,2013
Burnley FC,€20.43m,winter,2013
Watford FC,€19.30m,winter,2013
Manchester City,€472.75m,summer,2014
Liverpool FC,€285.50m,summer,2014
Chelsea FC,€458.75m,summer,2014
Manchester United,€405.50m,summer,2014
Tottenham Hotspur,€313.00m,summer,2014
Leicester City,€27.35m,summer,2014
Arsenal FC,€355.50m,summer,2014
Everton FC,€168.00m,summer,2014
Aston Villa,€104.25m,summer,2014
West Ham United,€96.00m,summer,2014
Wolverhampton Wanderers,€21.45m,summer,2014
Newcastle United,€165.50m,summer,2014
Leeds United,€22.90m,summer,2014
Southampton FC,€112.00m,summer,2014
Crystal Palace,€59.25m,summer,2014
Brighton & Hove Albion,€29.08m,summer,2014
Brentford FC,€7.20m,summer,2014
Norwich City,€84.25m,summer,2014
Burnley FC,€18.48m,summer,2014
Watford FC,€31.75m,summer,2014
Manchester City,€451.00m,winter,2014
Liverpool FC,€282.00m,winter,2014
Chelsea FC,€388.75m,winter,2014
Manchester United,€378.50m,winter,2014
Tottenham Hotspur,€271.00m,winter,2014
Leicester City,€29.20m,winter,2014
Arsenal FC,€371.00m,winter,2014
Everton FC,€171.75m,winter,2014
Aston Villa,€97.00m,winter,2014
West Ham United,€99.25m,winter,2014
Wolverhampton Wanderers,€16.98m,winter,2014
Newcastle United,€143.00m,winter,2014
Leeds United,€31.20m,winter,2014
Southampton FC,€111.75m,winter,2014
Crystal Palace,€59.00m,winter,2014
Brighton & Hove Albion,€22.03m,winter,2014
Brentford FC,€6.68m,winter,2014
Norwich City,€88.00m,winter,2014
Burnley FC,€24.43m,winter,2014
Watford FC,€30.70m,winter,2014
Manchester City,€441.25m,summer,2015
Liverpool FC,€331.50m,summer,2015
Chelsea FC,€444.75m,summer,2015
Manchester United,€461.00m,summer,2015
Tottenham Hotspur,€265.75m,summer,2015
Leicester City,€54.00m,summer,2015
Arsenal FC,€411.30m,summer,2015
Everton FC,€168.25m,summer,2015
Aston Villa,€102.00m,summer,2015
West Ham United,€108.75m,summer,2015
Wolverhampton Wanderers,€23.45m,summer,2015
Newcastle United,€126.00m,summer,2015
Leeds United,€27.98m,summer,2015
Southampton FC,€152.25m,summer,2015
Crystal Palace,€71.75m,summer,2015
Brighton & Hove Albion,€21.30m,summer,2015
Brentford FC,€13.30m,summer,2015
Norwich City,€65.25m,summer,2015
