Weekend,Month,Top Referee,Outcome,Home Avg Goal,Home Avg Opp Goal,Home Diff Goal,Home Rank,Last Season Home,Home Values,Home Win Percent,Home Lose Percent,Avg Goal (diff),Avg Opp Goal (diff),Diff Goal (diff),Rank (diff),Last Season (diff),Values (diff),Win Percent (diff),Lose Percent (diff),Top Win Home,Top Draw Home,Top Lose Home,Top Win Away,Top Draw Away,Top Lose Away
1,9,1,0,1.0,1.6666666666666667,-2,15,17,94.38,0.0,0.6666666666666666,0.0,0.3333333333333335,-1,6,12,-23.370000000000005,-0.3333333333333333,0.3333333333333333,0,0,0,0,1,0
1,9,0,-1,1.0,0.3333333333333333,2,18,6,187.905,0.3333333333333333,0.0,0.0,-1.0,3,2,-1,-18.845,0.3333333333333333,-0.3333333333333333,0,0,0,0,0,0
1,9,0,0,3.6666666666666665,0.0,11,1,10,423.125,1.0,0.0,3.333333333333333,-1.0,13,-16,9,-32.22500000000002,1.0,-0.3333333333333333,1,0,0,1,0,0
1,9,0,0,1.0,0.3333333333333333,2,2,14,229.5,0.6666666666666666,0.0,-0.33333333333333326,-1.6666666666666667,4,-8,5,44.70999999999998,0.3333333333333333,-0.6666666666666666,0,0,0,0,1,1
1,9,0,-1,2.0,1.6666666666666667,1,13,21,469.875,0.3333333333333333,0.3333333333333333,1.5,0.6666666666666667,3,5,3,317.825,0.0,-0.3333333333333333,1,0,0,0,0,1
1,9,0,-1,2.0,1.6666666666666667,1,9,7,206.75,0.3333333333333333,0.3333333333333333,-0.33333333333333304,0.0,-1,-6,-10,112.37,0.0,0.3333333333333333,0,0,0,0,0,0
1,9,0,1,1.3333333333333333,1.3333333333333333,0,5,12,187.905,0.3333333333333333,0.6666666666666666,1.0,0.0,3,-2,-7,-94.99499999999998,0.3333333333333333,0.0,0,0,0,1,0,1
1,9,0,0,2.0,0.3333333333333333,5,6,21,71.47,0.6666666666666666,0.0,0.75,-0.6666666666666667,4,-11,5,-116.435,0.0,-0.3333333333333333,0,0,0,0,0,0
1,9,1,0,1.0,1.3333333333333333,-1,18,8,133.9,0.0,0.3333333333333333,1.0,-0.9166666666666667,8,-2,2,-54.004999999999995,0.0,-0.6666666666666667,0,0,1,0,0,0
1,9,0,1,1.3333333333333333,1.0,1,10,5,117.75,0.3333333333333333,0.3333333333333333,-0.3333333333333335,-1.333333333333333,3,-9,-6,67.35,0.3333333333333333,-0.3333333333333333,0,1,1,0,0,0
1,9,0,-1,2.0,1.6666666666666667,1,11,9,184.79000000000002,0.3333333333333333,0.3333333333333333,0.6666666666666667,-0.33333333333333326,3,-1,-12,-3.1149999999999807,0.0,-0.3333333333333333,0,1,0,0,0,0
1,10,0,1,3.0,1.3333333333333333,5,3,3,380.625,1.0,0.0,1.5,0.33333333333333326,3,2,-7,-42.5,0.6666666666666667,0.0,1,0,0,1,0,0
1,10,0,1,2.0,2.0,0,16,1,455.35,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,2,12,-3,123.82500000000005,0.3333333333333333,0.0,1,0,0,1,0,0
1,10,0,0,1.3333333333333333,0.6666666666666666,2,14,20,97.025,0.6666666666666666,0.0,0.5833333333333333,0.6666666666666666,-1,12,6,-132.475,0.0,0.0,0,0,1,0,0,0
1,10,0,0,1.0,1.0,0,9,21,187.905,0.25,0.25,-0.5,-0.5,0,-9,13,54.004999999999995,0.0,-0.25,0,0,0,0,0,1
1,10,0,-1,1.0,0.5,2,1,14,229.5,0.5,0.0,-0.5,-0.75,1,-1,4,-193.625,0.25,-0.25,0,0,0,1,0,0
1,10,0,1,1.0,0.5,2,14,20,97.025,0.5,0.0,0.0,-1.0,4,2,19,-358.32500000000005,0.5,-0.25,0,0,1,1,0,0
1,10,1,1,2.0,1.75,1,4,12,187.905,0.5,0.5,0.5,-0.75,5,-3,-9,116.435,0.25,0.0,0,0,0,0,0,0
1,10,0,0,1.5,2.0,-2,15,9,184.79000000000002,0.25,0.5,0.5,1.0,-2,2,2,-21.95999999999998,0.0,0.25,0,1,0,0,0,0
1,10,0,1,0.25,2.0,-7,17,16,187.905,0.0,0.75,-0.75,0.0,-3,7,-3,-94.99499999999998,0.0,0.0,0,0,0,1,0,1
1,10,0,1,2.5,1.0,6,3,3,380.625,1.0,0.0,1.5,-0.25,7,-3,-2,262.875,0.75,-0.25,1,0,0,0,1,0
1,10,0,1,1.5,1.5,0,16,21,469.875,0.25,0.5,1.25,-1.0,9,-3,15,281.97,0.25,-0.25,1,0,0,0,0,0
1,10,0,-1,2.0,2.0,0,20,11,50.4,0.0,0.0,1.0,-0.25,5,12,7,-281.125,0.0,-0.5,0,0,0,1,0,0
1,10,0,-1,1.0,1.5,-2,11,17,94.38,0.0,0.5,0.25,0.5,-1,6,-1,-57.670000000000016,-0.5,0.0,0,0,0,0,0,1
1,10,0,1,2.0,0.75,5,9,21,71.47,0.5,0.0,0.0,-0.44999999999999996,1,-5,4,-22.909999999999997,0.0,0.0,0,0,0,0,0,0
1,10,0,1,2.0,1.0,4,6,4,331.525,0.75,0.0,1.25,1.0,1,1,-10,102.02499999999998,0.25,0.0,1,0,0,0,0,0
1,10,1,1,1.75,0.75,4,11,19,282.9,0.75,0.0,0.55,-1.4500000000000002,9,-9,8,232.49999999999997,0.75,-0.75,1,0,0,0,0,0
1,10,0,-1,1.0,1.25,-1,18,8,133.9,0.0,0.25,0.19999999999999996,0.25,0,16,5,-246.725,0.0,0.0,0,0,1,1,1,0
1,10,0,1,2.25,1.5,3,15,1,455.35,0.5,0.25,0.8500000000000001,0.30000000000000004,2,2,-15,267.44500000000005,0.0,0.0,1,0,0,0,0,0
1,10,1,-1,1.25,0.75,2,4,18,152.05,0.5,0.25,0.0,-1.0,4,-13,9,-32.74000000000001,0.25,-0.25,0,0,1,0,1,1
1,10,0,-1,0.75,0.5,1,19,6,187.905,0.25,0.25,-1.0,-1.0,0,11,-15,0.0,-0.25,-0.25,0,0,0,0,0,0
1,10,0,1,3.5,0.75,11,1,10,423.125,0.75,0.0,2.25,0.0,9,-2,-2,235.22,0.25,0.0,1,0,0,0,0,0
1,10,0,0,2.0,1.0,4,7,5,117.75,0.5,0.25,1.25,-1.25,10,-3,-15,20.724999999999994,0.5,-0.5,0,1,1,0,0,0
1,10,0,-1,1.75,2.0,-1,16,7,206.75,0.25,0.5,0.95,0.3999999999999999,3,4,-14,-263.125,0.0,0.0,0,0,0,1,0,0
1,10,0,1,1.0,0.4,3,13,20,97.025,0.6,0.0,-0.6000000000000001,-2.0,7,-2,4,-90.88,0.19999999999999996,-0.4,0,0,1,0,0,0
1,10,0,1,0.8,1.0,-1,6,14,229.5,0.4,0.2,-0.5999999999999999,-1.7999999999999998,6,-14,3,179.1,0.4,-0.6000000000000001,0,0,0,0,0,0
1,10,0,1,1.6,0.8,4,12,5,117.75,0.4,0.2,0.20000000000000018,-1.8,10,4,-16,46.28,0.2,-0.39999999999999997,0,1,1,0,0,0
1,10,0,1,1.0,1.4,-2,18,8,133.9,0.0,0.4,-0.19999999999999996,0.3999999999999999,-3,13,-10,-18.150000000000006,-0.6,0.0,0,0,1,0,0,1
1,10,0,1,3.4,0.6,14,1,10,423.125,0.8,0.0,2.4,-0.4,14,-16,3,216.375,0.6000000000000001,-0.2,1,0,0,0,0,0
1,10,0,1,3.0,1.4,8,11,1,455.35,0.6,0.2,2.0,-0.6000000000000001,13,2,-18,172.45000000000005,0.6,-0.6000000000000001,1,0,0,1,0,1
1,10,0,1,1.0,1.0,0,7,21,187.905,0.2,0.2,-1.0,-0.3999999999999999,-3,-9,4,93.525,-0.2,0.0,0,0,0,0,0,0
1,10,0,1,2.2,0.8,7,2,3,380.625,1.0,0.0,1.0000000000000002,-0.8,9,-8,-18,-89.25,0.6,-0.4,1,0,0,1,0,0
1,10,0,1,1.8,0.8,5,3,4,331.525,0.8,0.0,0.6000000000000001,-0.5999999999999999,6,-11,-5,146.73499999999996,0.4,-0.4,1,0,0,0,1,1
1,10,0,0,0.6,0.8,-1,19,6,187.905,0.2,0.4,-0.4,-0.3999999999999999,0,15,-6,0.0,-0.2,0.2,0,0,0,0,0,0
1,11,0,1,1.8,0.6,6,11,21,71.47,0.6,0.0,1.6,-1.7999999999999998,17,-8,15,-116.435,0.6,-0.8,0,0,0,0,0,0
1,11,0,1,1.0,0.8,1,9,18,152.05,0.4,0.4,-0.5,-0.19999999999999996,-2,4,-3,-35.85499999999999,-0.19999999999999996,0.0,0,0,1,0,0,0
1,11,0,-1,0.6,1.8,-6,16,16,187.905,0.2,0.6,-0.9,0.9666666666666667,-10,15,6,-235.22,-0.2,0.39999999999999997,0,0,0,1,0,0
1,11,0,1,2.0,0.8,6,12,19,282.9,0.8,0.0,1.4,-1.0,12,2,-1,185.87499999999997,0.8,-0.6,1,0,0,0,0,0
1,11,0,1,2.2,1.6,3,6,12,187.905,0.6,0.4,0.6000000000000001,-0.19999999999999996,4,3,8,-143.61999999999998,0.39999999999999997,0.0,0,0,0,1,0,0
1,11,0,-1,1.0,1.8,-4,17,17,94.38,0.0,0.6,-0.19999999999999996,0.6000000000000001,-4,15,14,-286.245,-0.2,0.39999999999999997,0,0,0,1,1,0
1,11,0,1,1.4,2.0,-3,18,7,206.75,0.2,0.6,0.5999999999999999,0.6000000000000001,0,11,6,-248.60000000000002,0.2,0.19999999999999996,0,0,0,1,0,0
1,11,1,-1,1.6,1.2,2,13,21,469.875,0.4,0.4,1.0,1.0,0,9,7,240.375,0.0,0.2,1,0,0,0,0,0
1,11,0,-1,1.4,1.8,-2,14,9,184.79000000000002,0.2,0.4,0.7333333333333333,0.8,0,6,4,67.04000000000002,0.0,0.0,0,1,0,0,1,0
1,11,0,0,1.6,2.4,-4,20,11,50.4,0.0,0.2,0.20000000000000018,1.0,-4,5,3,-83.5,-0.2,-0.2,0,0,0,0,0,1
1,11,0,1,3.6666666666666665,0.5,19,1,10,423.125,0.8333333333333334,0.0,1.8333333333333333,-1.0,17,-17,-7,328.745,0.5,-0.3333333333333333,1,0,0,0,0,0
1,11,0,0,2.6666666666666665,0.6666666666666666,12,2,3,380.625,1.0,0.0,1.3333333333333333,-2.0,20,-18,-8,330.225,1.0,-0.8333333333333334,1,0,0,0,0,0
1,11,0,1,1.1666666666666667,1.0,1,8,21,187.905,0.3333333333333333,0.16666666666666666,-0.16666666666666652,-1.5,8,-1,0,116.435,0.16666666666666666,-0.5,0,0,0,0,0,0
1,11,0,1,1.6666666666666667,0.8333333333333334,5,6,5,117.75,0.5,0.16666666666666666,0.8333333333333334,-1.333333333333333,13,-4,-14,-165.14999999999998,0.5,-0.6666666666666667,0,1,1,1,0,1
1,11,0,0,1.0,1.0,0,3,14,229.5,0.5,0.16666666666666666,0.0,0.0,0,-4,-4,77.44999999999999,0.0,-0.33333333333333337,0,0,0,0,0,1
1,11,0,-1,0.6666666666666666,0.8333333333333334,-1,19,6,187.905,0.16666666666666666,0.3333333333333333,-0.5000000000000001,-0.8333333333333334,2,3,-3,3.1149999999999807,-0.16666666666666666,-0.16666666666666669,0,0,0,0,1,1
1,11,1,0,1.0,0.3333333333333333,4,12,20,97.025,0.6666666666666666,0.0,0.16666666666666663,-1.3333333333333335,9,-2,13,-109.725,0.5,-0.3333333333333333,0,0,1,0,0,0
1,11,0,1,1.0,1.1666666666666667,-1,15,8,133.9,0.16666666666666666,0.3333333333333333,0.0,-0.9999999999999998,6,2,-13,-335.975,-0.16666666666666666,-0.16666666666666669,0,0,1,1,0,0
1,11,0,0,3.0,1.1666666666666667,11,11,1,455.35,0.6666666666666666,0.16666666666666666,2.0,0.0,12,6,-11,267.44500000000005,0.3333333333333333,0.0,1,0,0,0,0,0
1,11,0,1,2.0,0.8333333333333334,7,4,4,331.525,0.8333333333333334,0.0,0.6666666666666667,-1.333333333333333,12,-13,-12,143.61999999999998,0.5,-0.5,1,0,0,0,0,0
1,11,0,-1,0.8333333333333334,1.6666666666666667,-5,18,17,94.38,0.0,0.6666666666666666,0.261904761904762,1.523809523809524,-8,14,3,-135.12,-0.5,0.5,0,0,0,0,0,0
1,11,0,-1,1.3333333333333333,1.1666666666666667,1,16,21,469.875,0.3333333333333333,0.5,-0.23809523809523814,0.30952380952380965,-4,15,11,46.75,-0.16666666666666669,0.33333333333333337,1,0,0,1,0,0
1,11,0,-1,2.5,1.8333333333333333,4,6,12,187.905,0.6666666666666666,0.3333333333333333,1.5,0.8333333333333333,4,-7,4,54.004999999999995,0.5,0.0,0,0,0,0,0,1
1,11,0,1,1.6666666666666667,2.0,-2,15,7,206.75,0.3333333333333333,0.5,0.8333333333333334,1.0,-1,10,2,89.0,0.0,0.16666666666666669,0,0,0,0,1,0
1,11,0,-1,1.1666666666666667,0.8333333333333334,2,8,18,152.05,0.5,0.3333333333333333,0.5000000000000001,-0.9999999999999999,9,-4,-2,55.025000000000006,0.5,-0.3333333333333333,0,0,1,0,0,0
1,11,0,1,1.3333333333333333,2.0,-4,19,11,50.4,0.0,0.16666666666666666,1.1666666666666667,-0.33333333333333304,9,-1,5,-137.505,0.0,-0.6666666666666667,0,0,0,0,0,0
